date time,wheel,vl,wheel,vr,sonar,X

2019-07-05 16:30:30.759573 ,Left,240 ,Right,315 ,s,339
2019-07-05 16:30:31.321323 ,Left,210 ,Right,300 ,s,154
2019-07-05 16:30:31.861910 ,Left,195 ,Right,420 ,s,122
2019-07-05 16:30:32.418199 ,Left,195 ,Right,135 ,s,117
2019-07-05 16:30:32.959150 ,Left,105 ,Right,345 ,s,113
2019-07-05 16:30:33.550379 ,Left,135 ,Right,330 ,s,98
2019-07-05 16:30:34.080741 ,Left,90 ,Right,225 ,s,85
2019-07-05 16:30:34.608856 ,Left,225 ,Right,90 ,s,72
2019-07-05 16:30:35.138139 ,Left,165 ,Right,195 ,s,59
2019-07-05 16:30:35.667525 ,Left,225 ,Right,75 ,s,47
2019-07-05 16:30:36.194941 ,Left,225 ,Right,585 ,s,35
2019-07-05 16:30:36.723058 ,Left,330 ,Right,630 ,s,23
2019-07-05 16:30:37.296617 ,Left,390 ,Right,135 ,s,218
2019-07-05 16:30:37.831921 ,Left,135 ,Right,375 ,s,121
2019-07-05 16:30:38.389329 ,Left,345 ,Right,675 ,s,111
2019-07-05 16:30:38.920784 ,Left,165 ,Right,150 ,s,100
2019-07-05 16:30:39.517390 ,Left,135 ,Right,255 ,s,81
2019-07-05 16:30:40.050534 ,Left,225 ,Right,345 ,s,77
2019-07-05 16:30:40.591872 ,Left,75 ,Right,75 ,s,59
2019-07-05 16:30:41.121444 ,Left,210 ,Right,375 ,s,55
2019-07-05 16:30:41.657894 ,Left,165 ,Right,360 ,s,121
2019-07-05 16:30:42.191031 ,Left,105 ,Right,165 ,s,108
2019-07-05 16:30:42.721998 ,Left,300 ,Right,450 ,s,92
2019-07-05 16:30:43.275242 ,Left,180 ,Right,165 ,s,85
2019-07-05 16:30:43.808756 ,Left,105 ,Right,105 ,s,68
2019-07-05 16:30:44.381822 ,Left,210 ,Right,165 ,s,50
2019-07-05 16:30:44.911211 ,Left,255 ,Right,540 ,s,40
2019-07-05 16:30:45.511143 ,Left,435 ,Right,600 ,s,211
2019-07-05 16:30:46.041036 ,Left,195 ,Right,105 ,s,77
2019-07-05 16:30:46.592639 ,Left,90 ,Right,165 ,s,67
2019-07-05 16:30:47.121180 ,Left,135 ,Right,420 ,s,55
2019-07-05 16:30:47.650399 ,Left,255 ,Right,105 ,s,44
2019-07-05 16:30:48.183197 ,Left,120 ,Right,690 ,s,128
2019-07-05 16:30:48.721695 ,Left,135 ,Right,120 ,s,95
2019-07-05 16:30:49.260664 ,Left,60 ,Right,90 ,s,98
2019-07-05 16:30:49.981956 ,Left,150 ,Right,150 ,s,84
2019-07-05 16:30:50.580146 ,Left,345 ,Right,315 ,s,71
2019-07-05 16:30:51.111986 ,Left,285 ,Right,225 ,s,60
2019-07-05 16:30:51.658458 ,Left,240 ,Right,180 ,s,52
2019-07-05 16:30:52.201509 ,Left,105 ,Right,135 ,s,178
2019-07-05 16:30:52.750185 ,Left,210 ,Right,195 ,s,99
2019-07-05 16:30:53.283492 ,Left,135 ,Right,150 ,s,86
2019-07-05 16:30:53.814970 ,Left,150 ,Right,135 ,s,67
2019-07-05 16:30:54.349312 ,Left,180 ,Right,210 ,s,64
2019-07-05 16:30:54.880456 ,Left,120 ,Right,195 ,s,53
2019-07-05 16:30:55.408413 ,Left,150 ,Right,240 ,s,41
2019-07-05 16:30:55.940113 ,Left,165 ,Right,450 ,s,31
2019-07-05 16:30:56.500205 ,Left,0 ,Right,270 ,s,313
2019-07-05 16:30:57.041007 ,Left,150 ,Right,570 ,s,118
2019-07-05 16:30:57.618858 ,Left,105 ,Right,405 ,s,106
2019-07-05 16:30:58.152346 ,Left,165 ,Right,135 ,s,91
2019-07-05 16:30:58.717354 ,Left,135 ,Right,270 ,s,77
2019-07-05 16:30:59.246237 ,Left,210 ,Right,585 ,s,63
2019-07-05 16:30:59.777536 ,Left,270 ,Right,105 ,s,48
2019-07-05 16:31:00.316336 ,Left,210 ,Right,465 ,s,217
2019-07-05 16:31:00.849296 ,Left,180 ,Right,645 ,s,78
2019-07-05 16:31:01.380751 ,Left,390 ,Right,90 ,s,70
2019-07-05 16:31:01.910121 ,Left,165 ,Right,555 ,s,55
2019-07-05 16:31:02.438978 ,Left,270 ,Right,765 ,s,46
2019-07-05 16:31:02.974811 ,Left,375 ,Right,120 ,s,127
2019-07-05 16:31:03.601116 ,Left,90 ,Right,330 ,s,103
2019-07-05 16:31:04.133352 ,Left,135 ,Right,135 ,s,93
2019-07-05 16:31:04.698557 ,Left,270 ,Right,195 ,s,81
2019-07-05 16:31:05.230956 ,Left,240 ,Right,510 ,s,71
2019-07-05 16:31:05.762654 ,Left,255 ,Right,225 ,s,60
2019-07-05 16:31:06.292132 ,Left,405 ,Right,420 ,s,51
2019-07-05 16:31:06.831450 ,Left,90 ,Right,525 ,s,200
2019-07-05 16:31:07.362197 ,Left,150 ,Right,255 ,s,94
2019-07-05 16:31:07.893714 ,Left,210 ,Right,540 ,s,84
2019-07-05 16:31:08.431548 ,Left,165 ,Right,75 ,s,73
2019-07-05 16:31:08.961909 ,Left,90 ,Right,255 ,s,62
2019-07-05 16:31:09.567516 ,Left,240 ,Right,675 ,s,40
2019-07-05 16:31:10.098124 ,Left,225 ,Right,165 ,s,36
2019-07-05 16:31:10.667415 ,Left,240 ,Right,90 ,s,171
2019-07-05 16:31:11.203052 ,Left,315 ,Right,495 ,s,118
2019-07-05 16:31:11.736921 ,Left,75 ,Right,150 ,s,105
2019-07-05 16:31:12.267682 ,Left,120 ,Right,420 ,s,95
2019-07-05 16:31:12.800829 ,Left,150 ,Right,60 ,s,85
2019-07-05 16:31:13.331812 ,Left,120 ,Right,300 ,s,73
2019-07-05 16:31:13.861007 ,Left,90 ,Right,225 ,s,60
2019-07-05 16:31:14.401960 ,Left,210 ,Right,60 ,s,35
2019-07-05 16:31:14.931789 ,Left,105 ,Right,705 ,s,35
2019-07-05 16:31:15.494110 ,Left,345 ,Right,630 ,s,24
2019-07-05 16:31:16.039593 ,Left,105 ,Right,150 ,s,215
2019-07-05 16:31:16.833082 ,Left,120 ,Right,90 ,s,400
2019-07-05 16:31:17.363777 ,Left,90 ,Right,435 ,s,67
2019-07-05 16:31:17.915962 ,Left,135 ,Right,135 ,s,55
2019-07-05 16:31:18.443934 ,Left,120 ,Right,510 ,s,44
2019-07-05 16:31:19.011833 ,Left,120 ,Right,135 ,s,272
2019-07-05 16:31:19.567685 ,Left,150 ,Right,465 ,s,137
2019-07-05 16:31:20.103169 ,Left,165 ,Right,375 ,s,122
2019-07-05 16:31:20.639127 ,Left,150 ,Right,90 ,s,111
2019-07-05 16:31:21.184247 ,Left,60 ,Right,480 ,s,99
2019-07-05 16:31:21.716434 ,Left,270 ,Right,75 ,s,90
2019-07-05 16:31:22.249054 ,Left,75 ,Right,255 ,s,81
2019-07-05 16:31:22.803157 ,Left,195 ,Right,120 ,s,71
2019-07-05 16:31:23.334947 ,Left,255 ,Right,360 ,s,61
2019-07-05 16:31:23.896863 ,Left,285 ,Right,150 ,s,51
2019-07-05 16:31:24.438213 ,Left,375 ,Right,420 ,s,229
2019-07-05 16:31:25.208830 ,Left,180 ,Right,450 ,s,400
2019-07-05 16:31:25.771950 ,Left,180 ,Right,180 ,s,132
2019-07-05 16:31:26.322390 ,Left,75 ,Right,465 ,s,85
2019-07-05 16:31:26.852107 ,Left,120 ,Right,90 ,s,76
2019-07-05 16:31:27.407602 ,Left,150 ,Right,360 ,s,64
2019-07-05 16:31:27.938056 ,Left,135 ,Right,510 ,s,55
2019-07-05 16:31:28.528314 ,Left,135 ,Right,135 ,s,110
2019-07-05 16:31:29.089119 ,Left,210 ,Right,600 ,s,112
2019-07-05 16:31:29.650948 ,Left,165 ,Right,180 ,s,94
2019-07-05 16:31:30.191178 ,Left,105 ,Right,240 ,s,85
2019-07-05 16:31:30.723122 ,Left,180 ,Right,120 ,s,70
2019-07-05 16:31:31.256556 ,Left,180 ,Right,600 ,s,63
2019-07-05 16:31:31.787855 ,Left,75 ,Right,660 ,s,51
2019-07-05 16:31:32.355144 ,Left,225 ,Right,165 ,s,41
2019-07-05 16:31:32.912173 ,Left,90 ,Right,420 ,s,215
2019-07-05 16:31:33.625136 ,Left,135 ,Right,60 ,s,80
2019-07-05 16:31:34.199943 ,Left,60 ,Right,75 ,s,68
2019-07-05 16:31:34.733103 ,Left,105 ,Right,585 ,s,57
2019-07-05 16:31:35.287160 ,Left,165 ,Right,150 ,s,6
2019-07-05 16:31:36.051491 ,Left,45 ,Right,75 ,s,400
2019-07-05 16:31:36.655475 ,Left,75 ,Right,405 ,s,158
2019-07-05 16:31:37.236615 ,Left,75 ,Right,60 ,s,112
2019-07-05 16:31:37.821857 ,Left,120 ,Right,90 ,s,52
2019-07-05 16:31:38.414779 ,Left,45 ,Right,120 ,s,86
2019-07-05 16:31:39.046886 ,Left,255 ,Right,120 ,s,113
2019-07-05 16:31:39.626404 ,Left,150 ,Right,735 ,s,66
2019-07-05 16:31:40.157585 ,Left,210 ,Right,195 ,s,57
2019-07-05 16:31:40.915119 ,Left,285 ,Right,465 ,s,400
2019-07-05 16:31:41.478186 ,Left,255 ,Right,540 ,s,93
2019-07-05 16:31:42.008839 ,Left,210 ,Right,90 ,s,85
2019-07-05 16:31:42.568987 ,Left,120 ,Right,360 ,s,311
2019-07-05 16:31:43.100011 ,Left,120 ,Right,120 ,s,74
2019-07-05 16:31:43.657359 ,Left,135 ,Right,390 ,s,54
2019-07-05 16:31:44.188475 ,Left,195 ,Right,210 ,s,45
2019-07-05 16:31:44.719105 ,Left,195 ,Right,660 ,s,37
2019-07-05 16:31:45.251971 ,Left,240 ,Right,645 ,s,105
2019-07-05 16:31:45.782742 ,Left,195 ,Right,120 ,s,92
2019-07-05 16:31:46.347516 ,Left,285 ,Right,120 ,s,82
2019-07-05 16:31:46.877959 ,Left,150 ,Right,90 ,s,73
2019-07-05 16:31:47.436436 ,Left,120 ,Right,540 ,s,63
2019-07-05 16:31:47.968201 ,Left,180 ,Right,120 ,s,52
2019-07-05 16:31:48.498428 ,Left,150 ,Right,345 ,s,43
2019-07-05 16:31:49.039443 ,Left,180 ,Right,150 ,s,217
2019-07-05 16:31:49.605108 ,Left,90 ,Right,780 ,s,86
2019-07-05 16:31:50.150592 ,Left,180 ,Right,120 ,s,76
2019-07-05 16:31:50.692182 ,Left,90 ,Right,90 ,s,65
2019-07-05 16:31:51.226400 ,Left,225 ,Right,735 ,s,52
2019-07-05 16:31:51.755982 ,Left,150 ,Right,75 ,s,44
2019-07-05 16:31:52.330260 ,Left,150 ,Right,480 ,s,129
2019-07-05 16:31:52.862694 ,Left,150 ,Right,525 ,s,107
2019-07-05 16:31:53.419534 ,Left,150 ,Right,90 ,s,96
2019-07-05 16:31:53.950340 ,Left,270 ,Right,360 ,s,86
2019-07-05 16:31:54.483171 ,Left,150 ,Right,60 ,s,75
2019-07-05 16:31:55.015652 ,Left,120 ,Right,300 ,s,63
2019-07-05 16:31:55.547185 ,Left,135 ,Right,60 ,s,52
2019-07-05 16:31:56.082172 ,Left,90 ,Right,195 ,s,40
2019-07-05 16:31:56.632084 ,Left,90 ,Right,120 ,s,29
2019-07-05 16:31:57.164555 ,Left,90 ,Right,90 ,s,17
2019-07-05 16:31:57.692445 ,Left,135 ,Right,660 ,s,5
2019-07-05 16:31:58.466072 ,Left,12345 ,Right,960 ,s,400
2019-07-05 16:31:58.991922 ,Left,13005 ,Right,165 ,s,4
2019-07-05 16:31:59.744405 ,Left,14025 ,Right,1185 ,s,400
2019-07-05 16:32:00.270696 ,Left,10695 ,Right,630 ,s,1
2019-07-05 16:32:01.031816 ,Left,5085 ,Right,225 ,s,400
2019-07-05 16:32:01.582307 ,Left,105 ,Right,195 ,s,5
2019-07-05 16:32:02.116656 ,Left,270 ,Right,225 ,s,107
2019-07-05 16:32:02.682897 ,Left,210 ,Right,210 ,s,278
2019-07-05 16:32:03.224098 ,Left,135 ,Right,390 ,s,102
2019-07-05 16:32:03.757652 ,Left,135 ,Right,75 ,s,90
2019-07-05 16:32:04.301432 ,Left,210 ,Right,180 ,s,76
2019-07-05 16:32:04.832770 ,Left,180 ,Right,435 ,s,65
2019-07-05 16:32:05.382489 ,Left,210 ,Right,585 ,s,136
2019-07-05 16:32:05.914297 ,Left,210 ,Right,105 ,s,111
2019-07-05 16:32:06.445514 ,Left,150 ,Right,135 ,s,99
2019-07-05 16:32:06.978227 ,Left,225 ,Right,375 ,s,86
2019-07-05 16:32:07.508866 ,Left,75 ,Right,120 ,s,73
2019-07-05 16:32:08.040827 ,Left,150 ,Right,570 ,s,61
2019-07-05 16:32:08.571929 ,Left,225 ,Right,375 ,s,50
2019-07-05 16:32:09.120995 ,Left,180 ,Right,90 ,s,221
2019-07-05 16:32:09.683299 ,Left,135 ,Right,435 ,s,40
2019-07-05 16:32:10.240783 ,Left,120 ,Right,375 ,s,64
2019-07-05 16:32:10.772502 ,Left,270 ,Right,105 ,s,51
2019-07-05 16:32:11.326731 ,Left,30 ,Right,390 ,s,39
2019-07-05 16:32:11.874282 ,Left,285 ,Right,645 ,s,329
2019-07-05 16:32:12.409224 ,Left,75 ,Right,165 ,s,113
2019-07-05 16:32:12.940132 ,Left,90 ,Right,75 ,s,91
2019-07-05 16:32:13.474187 ,Left,90 ,Right,435 ,s,89
2019-07-05 16:32:14.005504 ,Left,165 ,Right,90 ,s,77
2019-07-05 16:32:14.539412 ,Left,210 ,Right,255 ,s,68
2019-07-05 16:32:15.084008 ,Left,300 ,Right,855 ,s,51
2019-07-05 16:32:15.640475 ,Left,165 ,Right,135 ,s,41
2019-07-05 16:32:16.218577 ,Left,465 ,Right,525 ,s,220
2019-07-05 16:32:16.753720 ,Left,210 ,Right,915 ,s,104
2019-07-05 16:32:17.314788 ,Left,90 ,Right,90 ,s,93
2019-07-05 16:32:17.868818 ,Left,105 ,Right,435 ,s,81
2019-07-05 16:32:18.646466 ,Left,1155 ,Right,2745 ,s,62
2019-07-05 16:32:19.176351 ,Left,165 ,Right,135 ,s,73
2019-07-05 16:32:19.703981 ,Left,150 ,Right,240 ,s,63
2019-07-05 16:32:20.236574 ,Left,165 ,Right,135 ,s,42
2019-07-05 16:32:20.770225 ,Left,120 ,Right,705 ,s,93
2019-07-05 16:32:21.309328 ,Left,150 ,Right,315 ,s,82
2019-07-05 16:32:21.864480 ,Left,135 ,Right,135 ,s,63
2019-07-05 16:32:22.460232 ,Left,180 ,Right,645 ,s,58
2019-07-05 16:32:22.993136 ,Left,135 ,Right,150 ,s,107
2019-07-05 16:32:23.535097 ,Left,90 ,Right,90 ,s,117
2019-07-05 16:32:24.069640 ,Left,105 ,Right,135 ,s,100
2019-07-05 16:32:24.600474 ,Left,105 ,Right,60 ,s,95
2019-07-05 16:32:25.130713 ,Left,90 ,Right,240 ,s,84
2019-07-05 16:32:25.663640 ,Left,255 ,Right,495 ,s,69
2019-07-05 16:32:26.194803 ,Left,180 ,Right,105 ,s,56
2019-07-05 16:32:26.725666 ,Left,120 ,Right,495 ,s,48
2019-07-05 16:32:27.292760 ,Left,225 ,Right,570 ,s,229
2019-07-05 16:32:27.827559 ,Left,150 ,Right,75 ,s,104
2019-07-05 16:32:28.435223 ,Left,180 ,Right,285 ,s,92
2019-07-05 16:32:28.966660 ,Left,135 ,Right,255 ,s,81
2019-07-05 16:32:29.497440 ,Left,165 ,Right,105 ,s,70
2019-07-05 16:32:30.029106 ,Left,75 ,Right,540 ,s,56
2019-07-05 16:32:30.559613 ,Left,180 ,Right,135 ,s,44
2019-07-05 16:32:31.092203 ,Left,240 ,Right,225 ,s,125
2019-07-05 16:32:31.626319 ,Left,150 ,Right,435 ,s,108
2019-07-05 16:32:32.165392 ,Left,90 ,Right,120 ,s,94
2019-07-05 16:32:32.696433 ,Left,150 ,Right,405 ,s,83
2019-07-05 16:32:33.262288 ,Left,225 ,Right,585 ,s,70
2019-07-05 16:32:33.797393 ,Left,180 ,Right,105 ,s,60
2019-07-05 16:32:34.346265 ,Left,135 ,Right,210 ,s,49
2019-07-05 16:32:35.087446 ,Left,90 ,Right,420 ,s,400
2019-07-05 16:32:35.647317 ,Left,210 ,Right,345 ,s,72
2019-07-05 16:32:36.179713 ,Left,135 ,Right,75 ,s,60
2019-07-05 16:32:36.729596 ,Left,225 ,Right,450 ,s,48
2019-07-05 16:32:37.258542 ,Left,135 ,Right,150 ,s,40
2019-07-05 16:32:37.793139 ,Left,165 ,Right,135 ,s,122
2019-07-05 16:32:38.326066 ,Left,165 ,Right,675 ,s,106
2019-07-05 16:32:38.867470 ,Left,120 ,Right,90 ,s,96
2019-07-05 16:32:39.448648 ,Left,135 ,Right,570 ,s,84
2019-07-05 16:32:39.983054 ,Left,75 ,Right,210 ,s,73
2019-07-05 16:32:40.516042 ,Left,165 ,Right,105 ,s,60
2019-07-05 16:32:41.046606 ,Left,225 ,Right,495 ,s,46
2019-07-05 16:32:41.610349 ,Left,195 ,Right,570 ,s,36
2019-07-05 16:32:42.149802 ,Left,150 ,Right,135 ,s,202
2019-07-05 16:32:42.714285 ,Left,180 ,Right,675 ,s,102
2019-07-05 16:32:43.245677 ,Left,90 ,Right,510 ,s,93
2019-07-05 16:32:43.777609 ,Left,135 ,Right,105 ,s,90
2019-07-05 16:32:44.316330 ,Left,195 ,Right,315 ,s,67
2019-07-05 16:32:44.847908 ,Left,60 ,Right,75 ,s,55
2019-07-05 16:32:45.389428 ,Left,165 ,Right,225 ,s,50
2019-07-05 16:32:45.917812 ,Left,135 ,Right,465 ,s,30
2019-07-05 16:32:46.505530 ,Left,210 ,Right,375 ,s,167
2019-07-05 16:32:47.041145 ,Left,180 ,Right,150 ,s,122
2019-07-05 16:32:47.604828 ,Left,120 ,Right,375 ,s,111
2019-07-05 16:32:48.137531 ,Left,120 ,Right,435 ,s,107
2019-07-05 16:32:48.693052 ,Left,165 ,Right,75 ,s,84
2019-07-05 16:32:49.225510 ,Left,105 ,Right,225 ,s,71
2019-07-05 16:32:49.755000 ,Left,135 ,Right,465 ,s,56
2019-07-05 16:32:50.283792 ,Left,120 ,Right,135 ,s,46
2019-07-05 16:32:50.825045 ,Left,225 ,Right,555 ,s,221
2019-07-05 16:32:51.360443 ,Left,135 ,Right,75 ,s,88
2019-07-05 16:32:51.895078 ,Left,210 ,Right,525 ,s,75
2019-07-05 16:32:52.502555 ,Left,75 ,Right,510 ,s,63
2019-07-05 16:32:53.030974 ,Left,120 ,Right,135 ,s,52
2019-07-05 16:32:53.590702 ,Left,165 ,Right,75 ,s,39
2019-07-05 16:32:54.118259 ,Left,135 ,Right,285 ,s,27
2019-07-05 16:32:54.659224 ,Left,225 ,Right,405 ,s,16
2019-07-05 16:32:55.223523 ,Left,135 ,Right,120 ,s,110
2019-07-05 16:32:55.897345 ,Left,0 ,Right,855 ,s,112
2019-07-05 16:32:56.502571 ,Left,0 ,Right,120 ,s,111
2019-07-05 16:32:57.130912 ,Left,0 ,Right,585 ,s,111
2019-07-05 16:32:57.916770 ,Left,0 ,Right,150 ,s,111
2019-07-05 16:32:58.475325 ,Left,105 ,Right,150 ,s,41
2019-07-05 16:32:59.107317 ,Left,105 ,Right,150 ,s,95
2019-07-05 16:32:59.836613 ,Left,225 ,Right,105 ,s,81
2019-07-05 16:33:00.472807 ,Left,165 ,Right,105 ,s,67
2019-07-05 16:33:01.099651 ,Left,270 ,Right,120 ,s,55
2019-07-05 16:33:01.694154 ,Left,225 ,Right,975 ,s,195
2019-07-05 16:33:02.225510 ,Left,345 ,Right,195 ,s,88
2019-07-05 16:33:03.210884 ,Left,165 ,Right,135 ,s,68
2019-07-05 16:33:03.740375 ,Left,195 ,Right,315 ,s,55
2019-07-05 16:33:04.272135 ,Left,225 ,Right,765 ,s,49
2019-07-05 16:33:04.801236 ,Left,330 ,Right,135 ,s,38
2019-07-05 16:33:05.366604 ,Left,150 ,Right,150 ,s,120
2019-07-05 16:33:05.927665 ,Left,150 ,Right,465 ,s,104
2019-07-05 16:33:06.521189 ,Left,105 ,Right,195 ,s,89
2019-07-05 16:33:07.050982 ,Left,210 ,Right,180 ,s,76
2019-07-05 16:33:07.593250 ,Left,285 ,Right,645 ,s,64
2019-07-05 16:33:08.122063 ,Left,150 ,Right,165 ,s,56
2019-07-05 16:33:08.660222 ,Left,120 ,Right,405 ,s,49
2019-07-05 16:33:09.414024 ,Left,270 ,Right,645 ,s,210
2019-07-05 16:33:10.165201 ,Left,420 ,Right,810 ,s,75
2019-07-05 16:33:10.790577 ,Left,240 ,Right,510 ,s,58
2019-07-05 16:33:11.329655 ,Left,150 ,Right,90 ,s,149
2019-07-05 16:33:11.891980 ,Left,105 ,Right,450 ,s,136
2019-07-05 16:33:12.485173 ,Left,150 ,Right,600 ,s,62
2019-07-05 16:33:13.028807 ,Left,165 ,Right,90 ,s,111
2019-07-05 16:33:13.594048 ,Left,300 ,Right,720 ,s,97
2019-07-05 16:33:14.139354 ,Left,270 ,Right,135 ,s,87
2019-07-05 16:33:14.722259 ,Left,330 ,Right,225 ,s,79
2019-07-05 16:33:15.317453 ,Left,165 ,Right,885 ,s,108
2019-07-05 16:33:15.905618 ,Left,315 ,Right,135 ,s,99
2019-07-05 16:33:16.663183 ,Left,255 ,Right,135 ,s,87
2019-07-05 16:33:17.299528 ,Left,180 ,Right,150 ,s,82
2019-07-05 16:33:17.867191 ,Left,150 ,Right,285 ,s,109
2019-07-05 16:33:18.463005 ,Left,90 ,Right,90 ,s,84
2019-07-05 16:33:19.249119 ,Left,120 ,Right,90 ,s,68
2019-07-05 16:33:19.820561 ,Left,135 ,Right,540 ,s,162
2019-07-05 16:33:20.522312 ,Left,90 ,Right,495 ,s,269
2019-07-05 16:33:21.250106 ,Left,75 ,Right,105 ,s,255
2019-07-05 16:33:21.883861 ,Left,105 ,Right,105 ,s,239
2019-07-05 16:33:22.519130 ,Left,150 ,Right,540 ,s,227
2019-07-05 16:33:23.124801 ,Left,90 ,Right,540 ,s,216
2019-07-05 16:33:23.737658 ,Left,210 ,Right,135 ,s,196
2019-07-05 16:33:24.274870 ,Left,150 ,Right,375 ,s,119
2019-07-05 16:33:24.809928 ,Left,120 ,Right,300 ,s,104
2019-07-05 16:33:25.530966 ,Left,240 ,Right,270 ,s,88
2019-07-05 16:33:26.064503 ,Left,105 ,Right,90 ,s,79
2019-07-05 16:33:26.707158 ,Left,165 ,Right,285 ,s,67
2019-07-05 16:33:27.266603 ,Left,105 ,Right,105 ,s,51
2019-07-05 16:33:27.826506 ,Left,180 ,Right,555 ,s,39
2019-07-05 16:33:28.459616 ,Left,120 ,Right,585 ,s,24
2019-07-05 16:33:29.049831 ,Left,255 ,Right,195 ,s,28
2019-07-05 16:33:30.376604 ,Left,0 ,Right,105 ,s,400
2019-07-05 16:33:30.908883 ,Left,0 ,Right,75 ,s,98
2019-07-05 16:33:31.447530 ,Left,0 ,Right,120 ,s,28
2019-07-05 16:33:31.987447 ,Left,0 ,Right,165 ,s,118
2019-07-05 16:33:32.564093 ,Left,150 ,Right,450 ,s,245
2019-07-05 16:33:33.142692 ,Left,105 ,Right,135 ,s,95
2019-07-05 16:33:33.690680 ,Left,135 ,Right,495 ,s,186
2019-07-05 16:33:34.418534 ,Left,165 ,Right,315 ,s,172
2019-07-05 16:33:35.166671 ,Left,195 ,Right,435 ,s,400
2019-07-05 16:33:35.955880 ,Left,120 ,Right,210 ,s,400
2019-07-05 16:33:36.504277 ,Left,105 ,Right,75 ,s,71
2019-07-05 16:33:37.257712 ,Left,135 ,Right,75 ,s,400
2019-07-05 16:33:37.791192 ,Left,105 ,Right,360 ,s,124
2019-07-05 16:33:38.345197 ,Left,105 ,Right,450 ,s,117
